"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1";"C_0805_2012Metric";1;"22μF";;;
2;"C2, C3, C4, C6";"C_0805_2012Metric";4;"100nF";;;
3;"C5";"C_0805_2012Metric";1;"10μF";;;
4;"J1";"microSD_HC_Hirose_DM3AT-SF-PEJM5";1;"Micro SD Card Det Hirose DM3AT";;;
5;"J3";"U.FL_Hirose_U.FL-R-SMT-1_Vertical";1;"Conn_Coaxial_Small";;;
6;"R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"10k";;;
7;"REF**";"USB_A_Male_GoldFinger";1;"USB_A_Male_GoldFinger";;;
8;"U1";"ESP32-S3-WROOM-1";1;"ESP32-S3-WROOM-1";;;
9;"U2";"XCVR_E22-900M30S";1;"E22-900M30S";;;
10;"U3";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
